transaction_id,account_id,date,type,amount
143,1149,2023-09-19,Deposit,34489.2
144,1084,2022-01-26,Deposit,42147.16
145,1231,2024-07-07,Deposit,21034.96
146,1288,2022-10-26,Withdrawal,38509.12
147,1161,2022-03-18,Withdrawal,2505.2
148,1272,2024-07-12,Deposit,6584.1
149,1038,2022-05-17,Deposit,10551.99
150,1226,2022-01-20,Withdrawal,20396.62
151,1142,2023-03-16,Withdrawal,42364.37
152,1292,2022-07-30,Deposit,17640.17
153,1151,2024-01-22,Deposit,32903.75
154,1114,2023-07-05,Deposit,35611.06
155,1237,2023-03-11,Deposit,29516.03
156,1066,2024-02-19,Withdrawal,18183.48
157,1258,2022-07-26,Withdrawal,29064.14
158,1249,2024-09-17,Deposit,17442.15
159,1180,2023-03-15,Withdrawal,4651.75
160,1190,2024-08-31,Deposit,49643.8
161,1154,2024-02-18,Withdrawal,6795.53
162,1196,2023-10-28,Withdrawal,4081.24
163,1262,2022-02-11,Deposit,43987.27
164,1143,2023-02-15,Deposit,15440.82
165,1101,2023-06-07,Withdrawal,32689.7
166,1244,2024-03-16,Deposit,16785.78
167,1012,2023-09-02,Deposit,19876.99
168,1239,2023-03-03,Deposit,13474.59
169,1049,2022-10-02,Withdrawal,17480.68
170,1042,2023-03-24,Deposit,20829.67
171,1166,2024-06-20,Withdrawal,36160.6
172,1082,2024-07-30,Deposit,25821.04
173,1291,2024-06-02,Withdrawal,47206.48
174,1158,2024-01-12,Withdrawal,2573.08
175,1216,2023-01-04,Withdrawal,25401.88
176,1158,2024-07-26,Deposit,29419.13
177,1134,2022-08-08,Withdrawal,46049.75
178,1067,2023-07-31,Withdrawal,2933.35
179,1007,2024-05-16,Deposit,28888.23
180,1014,2022-08-20,Deposit,42754.68
181,1073,2022-11-24,Deposit,12475.42
182,1163,2023-03-19,Deposit,43876.47
183,1066,2022-02-21,Withdrawal,1442.65
184,1130,2024-06-04,Deposit,36756.5
185,1206,2024-07-31,Deposit,46689.1
186,1276,2023-01-11,Withdrawal,33031.28
187,1256,2022-09-20,Deposit,22231.95
188,1266,2022-09-24,Deposit,2721.61
189,1025,2022-12-25,Deposit,46045.63
190,1281,2022-11-13,Withdrawal,23779.66
191,1253,2022-11-20,Withdrawal,1935.34
192,1289,2024-07-09,Withdrawal,34646.14
193,1164,2024-06-26,Deposit,24350.94
194,1095,2023-10-28,Withdrawal,6655.09
195,1270,2024-05-19,Deposit,11106.45
196,1110,2024-05-27,Deposit,3692.29
197,1238,2023-10-14,Deposit,28927.53
198,1025,2024-07-27,Withdrawal,31290.46
199,1141,2023-07-17,Deposit,25534.24
200,1117,2023-09-21,Deposit,40946.56
201,1025,2023-02-25,Deposit,43119.94
202,1079,2022-02-15,Deposit,30973.41
203,1068,2024-03-31,Withdrawal,1131.45
204,1173,2023-08-23,Deposit,34913.87
205,1012,2023-12-21,Withdrawal,21190.96
206,1288,2024-06-07,Deposit,28495.1
207,1128,2022-09-26,Withdrawal,32629.49
208,1096,2023-08-24,Withdrawal,17836.71
209,1092,2023-01-16,Deposit,45896.38
210,1141,2022-04-28,Deposit,7131.76
211,1031,2023-07-20,Withdrawal,33739.83
212,1020,2024-08-10,Withdrawal,715.8
213,1146,2022-04-26,Deposit,46270.23
214,1160,2023-09-22,Deposit,6068.95
215,1043,2022-09-17,Withdrawal,5196.77
216,1254,2022-03-16,Withdrawal,16983.88
217,1130,2023-04-25,Deposit,18991.53
218,1060,2022-11-01,Deposit,11107.85
219,1151,2022-01-07,Deposit,29463.52
220,1287,2023-01-01,Withdrawal,22424.25
221,1005,2023-09-26,Deposit,2191.69
222,1266,2023-06-07,Withdrawal,16322.78
223,1130,2022-12-14,Deposit,40616.43
224,1267,2023-03-14,Deposit,34640.23
225,1178,2022-08-03,Withdrawal,36381.11
226,1253,2023-03-05,Withdrawal,35056.79
227,1056,2024-03-01,Withdrawal,15893.16
228,1083,2023-05-13,Deposit,5433.36
229,1099,2023-06-24,Withdrawal,13987.13
230,1149,2024-01-17,Withdrawal,41673.37
231,1156,2023-01-02,Deposit,49033.3
232,1190,2022-11-09,Deposit,24945.43
233,1263,2023-06-22,Deposit,980.17
234,1080,2024-07-09,Deposit,7432.22
235,1252,2022-02-23,Withdrawal,16442.99
236,1097,2023-06-25,Deposit,29139.97
237,1260,2023-04-12,Withdrawal,4217.14
238,1260,2024-05-14,Deposit,47196.19
239,1103,2022-06-13,Withdrawal,18571.64
240,1040,2024-02-21,Deposit,45672.92
241,1273,2022-11-30,Deposit,39135.83
242,1101,2023-07-01,Deposit,37894.14
243,1221,2024-03-08,Deposit,30532.62
244,1124,2022-12-14,Withdrawal,31525.8
245,1231,2022-09-30,Deposit,32081.16
246,1178,2024-08-20,Withdrawal,31621.71
247,1063,2023-12-21,Deposit,27909.55
248,1116,2024-01-20,Deposit,49327.49
249,1191,2023-02-18,Deposit,36748.38
250,1062,2023-05-15,Withdrawal,38958.85
251,1256,2022-04-03,Withdrawal,43686.91
252,1007,2023-11-16,Deposit,11174.17
253,1155,2022-03-20,Deposit,4648.31
254,1092,2023-09-14,Deposit,24403.27
255,1014,2022-08-05,Withdrawal,25946.99
256,1229,2024-08-04,Withdrawal,41544.5
257,1086,2022-12-24,Deposit,22467.29
258,1133,2023-09-10,Withdrawal,28757.22
259,1183,2023-05-22,Deposit,26590.01
260,1062,2023-07-13,Withdrawal,2391.04
261,1219,2022-06-30,Deposit,30953.14
262,1246,2023-07-30,Withdrawal,41488.14
263,1230,2022-09-03,Deposit,8296.28
264,1079,2022-09-01,Withdrawal,29919.42
265,1149,2023-05-21,Withdrawal,29883.72
266,1138,2023-02-26,Withdrawal,8627.16
267,1065,2022-11-16,Withdrawal,6611.45
268,1013,2022-03-28,Withdrawal,49012.57
269,1213,2022-08-05,Deposit,19989.1
270,1242,2023-05-05,Deposit,11757.38
271,1213,2023-06-03,Deposit,8980.56
272,1181,2022-10-05,Withdrawal,33546.28
273,1173,2024-04-28,Deposit,30667.54
274,1160,2023-12-23,Withdrawal,32355.83
275,1164,2022-06-18,Withdrawal,4856.3
276,1188,2022-11-26,Deposit,44729.96
277,1191,2023-10-12,Deposit,19768.69
278,1256,2023-03-17,Deposit,16011.79
279,1183,2023-01-26,Deposit,23386.89
280,1117,2023-05-11,Deposit,19808.27
281,1282,2023-01-16,Deposit,43247.06
282,1196,2022-11-02,Withdrawal,46498.42
283,1034,2024-01-12,Withdrawal,15520.93
284,1052,2024-09-13,Deposit,43264.82
285,1112,2024-03-30,Deposit,39185.39
286,1252,2023-11-04,Deposit,46574.98
287,1082,2023-05-28,Withdrawal,12664.64
288,1232,2024-01-18,Withdrawal,29059.48
289,1227,2024-08-06,Deposit,14089.96
290,1233,2022-07-07,Deposit,41292.68
291,1221,2024-07-18,Withdrawal,763.55
292,1042,2023-05-31,Withdrawal,28458.55
293,1021,2024-07-01,Deposit,17290.57
294,1042,2023-10-06,Withdrawal,16472.84
295,1113,2023-03-03,Deposit,32422.86
296,1105,2023-05-17,Deposit,42648.48
297,1192,2023-12-31,Withdrawal,30655.17
298,1017,2022-09-17,Withdrawal,42732.06
299,1120,2023-05-28,Deposit,13597.56
300,1129,2022-03-12,Withdrawal,26215.34
301,1130,2023-04-23,Deposit,22801.56
302,1060,2022-06-27,Withdrawal,1076.42
303,1048,2023-04-02,Deposit,28062.2
304,1029,2022-07-08,Withdrawal,33245.45
305,1097,2022-10-18,Withdrawal,29799.76
306,1010,2023-06-04,Deposit,36945.85
307,1242,2024-02-04,Withdrawal,28781.31
308,1232,2024-07-08,Withdrawal,3804.14
309,1277,2024-09-05,Withdrawal,6264.05
310,1284,2022-10-19,Deposit,30025.49
311,1203,2024-08-03,Withdrawal,14111.47
312,1247,2024-01-26,Withdrawal,4442.43
313,1290,2023-09-27,Deposit,21765.34
314,1264,2024-03-21,Withdrawal,27938.97
315,1214,2022-10-10,Deposit,16772.93
316,1200,2023-06-28,Deposit,36161.47
317,1079,2024-04-25,Deposit,32366.65
318,1173,2023-01-12,Withdrawal,16974.51
319,1069,2023-10-20,Withdrawal,37866.19
320,1087,2022-06-05,Deposit,32610.4
321,1101,2023-05-23,Withdrawal,32053.55
322,1008,2023-02-17,Deposit,27894.67
323,1200,2023-06-12,Deposit,1063.79
324,1087,2022-12-21,Deposit,34977.11
325,1043,2023-07-13,Withdrawal,19114.07
326,1109,2024-02-02,Withdrawal,47159.18
327,1152,2022-07-06,Withdrawal,40990.25
328,1017,2022-01-31,Withdrawal,29590.88
329,1133,2022-09-17,Deposit,12983.01
330,1148,2023-02-25,Deposit,10584.01
331,1277,2023-06-13,Deposit,17349.05
332,1232,2023-07-05,Deposit,24090.11
333,1228,2022-10-31,Deposit,15155.24
334,1139,2024-07-30,Withdrawal,25989.01
335,1211,2024-09-12,Deposit,8685.84
336,1028,2024-08-01,Withdrawal,48896.78
337,1051,2022-02-08,Deposit,5842.27
338,1261,2023-05-04,Deposit,46631.23
339,1261,2023-10-06,Withdrawal,45722.11
340,1008,2023-06-26,Deposit,26505.34
341,1138,2023-11-01,Withdrawal,36383.06
342,1038,2022-10-05,Withdrawal,22084.39
343,1111,2022-07-22,Deposit,31686.71
344,1220,2022-03-07,Withdrawal,17358.51
345,1223,2022-04-18,Deposit,15407.37
346,1136,2022-09-25,Deposit,29122.37
347,1256,2022-08-10,Withdrawal,25157.42
348,1049,2024-03-14,Deposit,29187.05
349,1292,2023-06-14,Withdrawal,14689.7
350,1078,2022-03-31,Withdrawal,18664.41
351,1105,2023-11-24,Withdrawal,4652.95
352,1169,2022-09-12,Deposit,3087.68
353,1217,2023-03-31,Deposit,13046.13
354,1119,2022-09-10,Withdrawal,4175.22
355,1190,2022-09-14,Deposit,5636.85
356,1255,2023-01-18,Deposit,40739.96
357,1266,2023-03-18,Deposit,2424.25
358,1149,2024-05-07,Deposit,33117.67
359,1164,2023-08-22,Deposit,13991.61
360,1140,2022-03-31,Withdrawal,43641.51
361,1258,2024-01-19,Withdrawal,24507.12
362,1269,2023-01-25,Deposit,15626.03
363,1181,2023-08-05,Deposit,26123.13
364,1160,2022-02-13,Deposit,19406.92
365,1288,2023-12-13,Withdrawal,28432.9
366,1288,2023-10-26,Deposit,6169.38
367,1226,2023-08-21,Withdrawal,49851.03
368,1011,2022-01-19,Deposit,21565.02
369,1010,2022-04-11,Withdrawal,17737.42
370,1271,2024-07-02,Deposit,35655.39
371,1273,2023-08-30,Withdrawal,18513.02
372,1183,2024-02-05,Deposit,41747.08
373,1153,2022-12-23,Withdrawal,22986.4
374,1124,2023-06-26,Deposit,36118.14
375,1114,2024-01-31,Withdrawal,5818.93
376,1278,2024-07-26,Withdrawal,42382.9
377,1213,2022-02-02,Deposit,36918.04
378,1172,2024-08-27,Withdrawal,10979.98
379,1288,2022-08-17,Withdrawal,7691.66
380,1174,2023-06-08,Deposit,16156.47
381,1113,2023-09-22,Deposit,48815.49
382,1122,2024-05-11,Deposit,13213.16
383,1032,2022-06-04,Withdrawal,23078.3
384,1222,2023-02-27,Withdrawal,1986.0
385,1119,2024-06-23,Deposit,20162.76
386,1039,2022-09-03,Deposit,28780.34
387,1268,2023-02-09,Withdrawal,47679.67
388,1233,2024-04-23,Withdrawal,26078.43
389,1018,2024-01-29,Deposit,41045.81
390,1149,2023-06-25,Withdrawal,27582.82
391,1149,2022-06-10,Deposit,2518.86
392,1126,2024-01-17,Deposit,16092.91
393,1238,2023-12-03,Withdrawal,28989.7
394,1135,2022-04-27,Deposit,47554.4
395,1151,2022-09-28,Deposit,43026.95
396,1236,2024-02-09,Deposit,11803.6
397,1224,2023-11-23,Withdrawal,11395.44
398,1203,2023-05-02,Withdrawal,10458.06
399,1256,2024-06-03,Deposit,46163.7
400,1086,2022-06-21,Deposit,42706.97
401,1150,2024-08-07,Deposit,38856.73
402,1235,2022-10-01,Withdrawal,19940.39
403,1022,2022-09-16,Deposit,25466.84
404,1285,2022-05-15,Withdrawal,23484.42
405,1269,2023-11-14,Deposit,13043.21
406,1258,2023-12-23,Deposit,25498.89
407,1029,2024-01-18,Deposit,2009.58
408,1213,2023-02-26,Deposit,7024.61
409,1283,2023-02-25,Withdrawal,44386.19
410,1050,2022-07-05,Deposit,37708.15
411,1095,2024-07-17,Deposit,21431.99
412,1088,2022-12-30,Deposit,26098.94
413,1044,2024-08-12,Deposit,18814.94
414,1278,2023-08-30,Deposit,37168.6
415,1171,2023-01-13,Deposit,39317.27
416,1189,2023-06-07,Deposit,38282.62
417,1184,2023-08-03,Withdrawal,36269.28
418,1003,2024-06-09,Deposit,10622.96
419,1191,2023-12-23,Deposit,17229.51
420,1118,2022-07-15,Withdrawal,23757.35
421,1019,2024-05-30,Deposit,16874.25
422,1023,2022-04-08,Deposit,37869.54
423,1030,2023-08-28,Deposit,16803.0
424,1295,2024-09-10,Deposit,7342.49
425,1108,2022-01-22,Withdrawal,20252.5
426,1281,2023-03-26,Deposit,49005.76
427,1128,2022-06-21,Withdrawal,11681.13
428,1229,2023-01-18,Deposit,30801.85
429,1111,2022-05-14,Deposit,21932.17
430,1136,2023-03-02,Withdrawal,4015.72
431,1186,2022-01-25,Deposit,24649.89
432,1144,2023-05-18,Withdrawal,35257.13
433,1072,2022-07-04,Deposit,25904.39
434,1129,2022-03-26,Withdrawal,43669.25
435,1261,2023-07-21,Deposit,14802.38
436,1003,2024-02-02,Withdrawal,4769.33
437,1104,2022-05-24,Deposit,46860.0
438,1224,2024-05-12,Withdrawal,19220.72
439,1010,2024-06-28,Deposit,29032.07
440,1231,2023-11-10,Withdrawal,39704.15
441,1219,2023-02-16,Deposit,16553.53
442,1066,2022-08-12,Withdrawal,35950.14
443,1112,2022-08-08,Deposit,7203.23
444,1013,2022-06-28,Deposit,14919.04
445,1086,2023-09-23,Deposit,7663.18
446,1234,2023-03-09,Deposit,40655.91
447,1090,2022-09-22,Deposit,11521.14
448,1054,2024-08-11,Withdrawal,36011.48
449,1012,2023-03-05,Withdrawal,47193.27
450,1209,2023-10-24,Deposit,26624.72
451,1014,2023-02-20,Withdrawal,27231.45
452,1121,2023-03-29,Deposit,23321.16
453,1020,2023-12-28,Deposit,16631.56
454,1075,2022-07-16,Withdrawal,24044.92
455,1243,2023-07-08,Withdrawal,30338.97
456,1223,2022-02-22,Withdrawal,49306.58
457,1070,2023-04-25,Deposit,46919.35
458,1211,2023-03-19,Withdrawal,43176.57
459,1101,2022-11-26,Deposit,44511.96
460,1186,2022-09-08,Deposit,23658.53
461,1132,2024-03-17,Deposit,33043.49
462,1111,2024-06-08,Withdrawal,44805.8
463,1132,2024-02-22,Withdrawal,19951.06
464,1020,2024-08-24,Withdrawal,48107.24
465,1024,2024-07-13,Deposit,21081.41
466,1227,2022-05-03,Deposit,30253.59
467,1154,2024-05-28,Deposit,35635.33
468,1293,2023-01-22,Deposit,47554.3
469,1230,2022-12-05,Deposit,12608.51
470,1202,2024-02-17,Withdrawal,37433.48
471,1038,2022-12-14,Deposit,26280.37
472,1260,2022-01-29,Deposit,13793.58
473,1188,2024-09-01,Deposit,38942.04
474,1057,2022-02-04,Deposit,27835.0
475,1020,2023-06-02,Deposit,33218.2
476,1273,2023-01-31,Withdrawal,16483.6
477,1119,2023-09-15,Withdrawal,24323.06
478,1071,2022-10-21,Withdrawal,31059.04
479,1004,2023-08-12,Deposit,20543.09
480,1221,2022-12-15,Deposit,10319.44
481,1014,2022-05-27,Deposit,48101.2
482,1003,2022-03-08,Withdrawal,25817.64
483,1216,2024-06-22,Withdrawal,36829.06
484,1229,2023-06-04,Deposit,20846.84
485,1186,2022-05-02,Deposit,18079.02
486,1055,2022-12-06,Deposit,20654.63
487,1254,2022-06-24,Withdrawal,20755.23
488,1024,2024-06-18,Withdrawal,27436.92
489,1162,2023-11-22,Withdrawal,27401.76
490,1158,2023-08-20,Deposit,25109.11
491,1082,2023-03-27,Deposit,7171.9
492,1159,2023-07-11,Deposit,25055.74
493,1188,2022-05-16,Deposit,8870.64
494,1060,2024-05-04,Deposit,6743.72
495,1211,2022-01-16,Withdrawal,46665.96
496,1152,2022-11-29,Withdrawal,30445.03
497,1109,2022-07-14,Deposit,33144.76
498,1076,2023-05-11,Withdrawal,20388.79
499,1030,2022-01-09,Deposit,45494.55
500,1117,2024-04-07,Deposit,32077.56
501,1192,2022-11-30,Deposit,38573.91
502,1019,2022-11-29,Deposit,18743.84
503,1173,2022-11-23,Deposit,48020.59
504,1228,2022-01-15,Deposit,41112.83
505,1183,2024-04-18,Deposit,42770.45
506,1113,2023-09-06,Withdrawal,9023.62
507,1183,2022-08-14,Deposit,13912.68
508,1146,2023-03-01,Deposit,14638.52
509,1116,2024-02-29,Deposit,13910.01
510,1113,2023-02-12,Withdrawal,42842.7
511,1251,2022-04-23,Deposit,2078.3
512,1251,2024-09-23,Withdrawal,4266.95
513,1118,2023-03-04,Deposit,14058.79
514,1161,2022-01-01,Deposit,10393.71
515,1198,2022-09-23,Withdrawal,11977.05
516,1260,2023-05-06,Deposit,39998.19
517,1148,2022-07-27,Deposit,28374.77
518,1240,2023-09-14,Deposit,785.65
519,1047,2023-12-13,Withdrawal,21751.48
520,1198,2024-08-09,Deposit,20690.3
521,1047,2023-01-04,Deposit,6140.29
522,1078,2024-09-11,Withdrawal,33969.02
523,1124,2022-11-02,Deposit,35253.81
524,1075,2022-01-12,Withdrawal,36184.21
525,1137,2022-12-11,Withdrawal,36559.31
526,1090,2023-04-10,Deposit,502.61
527,1061,2023-12-01,Deposit,47719.08
528,1138,2023-10-28,Deposit,40803.33
529,1050,2023-05-09,Withdrawal,45247.09
530,1259,2023-01-03,Withdrawal,1274.34
531,1107,2024-04-25,Withdrawal,46726.01
532,1113,2024-07-25,Withdrawal,40584.53
533,1254,2023-02-24,Withdrawal,41942.35
534,1118,2024-06-07,Deposit,5117.73
535,1198,2024-03-01,Deposit,37069.51
536,1051,2022-06-20,Withdrawal,48015.88
537,1245,2022-05-14,Deposit,34088.09
538,1035,2024-08-22,Deposit,28742.79
539,1069,2023-03-03,Withdrawal,47308.67
540,1049,2022-01-25,Deposit,22425.39
541,1074,2023-06-14,Withdrawal,30165.03
542,1192,2022-07-09,Withdrawal,24078.75
543,1261,2022-05-21,Deposit,46675.89
544,1070,2023-07-09,Withdrawal,4266.19
545,1090,2024-04-25,Deposit,25305.43
546,1260,2024-03-06,Deposit,34504.15
547,1126,2023-10-20,Deposit,39699.37
548,1231,2022-11-11,Deposit,29359.42
549,1295,2023-03-20,Deposit,45491.43
550,1129,2022-11-15,Deposit,47128.58
551,1280,2023-03-17,Deposit,3683.8
552,1100,2022-04-02,Deposit,20417.34
553,1297,2022-06-28,Withdrawal,1661.22
554,1182,2022-02-25,Withdrawal,16806.12
555,1174,2022-06-04,Deposit,27074.98
556,1188,2023-11-03,Deposit,45584.35
557,1057,2022-04-21,Deposit,42404.44
558,1031,2022-05-17,Deposit,6811.24
559,1084,2022-08-20,Withdrawal,5105.0
560,1152,2024-09-18,Withdrawal,29668.73
561,1036,2023-04-13,Deposit,26839.84
562,1213,2024-01-02,Deposit,13685.69
563,1106,2023-04-26,Deposit,45022.93
564,1220,2022-03-09,Withdrawal,46404.64
565,1163,2024-03-24,Deposit,20429.27
566,1220,2022-09-06,Withdrawal,44569.98
567,1270,2024-09-20,Withdrawal,19505.47
568,1120,2022-11-19,Deposit,36972.43
569,1182,2024-07-10,Withdrawal,24059.14
570,1106,2024-06-22,Withdrawal,6567.87
571,1217,2023-06-02,Withdrawal,46432.74
572,1205,2024-09-02,Deposit,22977.78
573,1070,2024-03-02,Deposit,36857.11
574,1044,2023-03-08,Withdrawal,18675.1
575,1228,2023-05-02,Withdrawal,1434.6
576,1184,2023-08-29,Withdrawal,5476.25
577,1107,2023-03-05,Withdrawal,25062.86
578,1084,2022-09-26,Withdrawal,34653.24
579,1250,2023-12-10,Withdrawal,17069.4
580,1021,2023-06-21,Deposit,34926.68
581,1196,2022-05-28,Deposit,35082.46
582,1178,2022-04-28,Withdrawal,35344.83
583,1007,2024-04-29,Withdrawal,24879.83
584,1070,2023-01-02,Withdrawal,45786.86
585,1127,2024-04-29,Deposit,24715.23
586,1160,2022-03-07,Withdrawal,22788.13
587,1248,2024-08-27,Withdrawal,10369.35
588,1203,2024-03-23,Deposit,15728.93
589,1148,2023-01-05,Deposit,2595.56
590,1143,2022-06-24,Deposit,31860.0
591,1199,2024-04-10,Deposit,12802.52
592,1154,2023-08-11,Deposit,15555.69
593,1142,2023-05-10,Deposit,38655.32
594,1165,2024-08-30,Deposit,16697.45
595,1021,2022-04-24,Withdrawal,12488.7
596,1082,2022-04-21,Withdrawal,8868.36
597,1069,2024-01-31,Withdrawal,38855.49
598,1131,2023-03-15,Deposit,6920.46
599,1087,2023-12-16,Deposit,22960.81
600,1218,2022-05-27,Withdrawal,25593.04
601,1161,2022-02-04,Deposit,34525.8
602,1178,2024-09-25,Withdrawal,31847.53
603,1117,2022-11-05,Withdrawal,40630.67
604,1196,2023-06-22,Deposit,2715.2
605,1086,2024-01-20,Withdrawal,15173.82
606,1289,2022-01-14,Deposit,14366.64
607,1081,2023-01-09,Deposit,7727.84
608,1152,2023-07-11,Withdrawal,14814.32
609,1061,2023-03-04,Deposit,15833.38
610,1061,2023-12-29,Withdrawal,26333.28
